Strain	Admin Division	Originating Lab	Submitting Lab	gisaid_epi_isl	url	Country	Region	Host	Submission Date	Location	Clade	Collection Data	Author	Exposure History	genbank_accession
China/Shanghai/SH0100	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416392		China	Asia	Human	1-2 days ago		B	2020-02-02	Wang et al		
Yunnan/IVDC-YN-003/2020	Yunnan	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	EPI_ISL_408480		China	Asia	Human	Older	Kunming	B	2020-01-17	Tan et al		MT049951
Anhui/SZ005/2020	Anhui	Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention	Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention	EPI_ISL_413485		China	Asia	Human	One month ago	Suzhou	B	2020-01-24	Li et al		
SouthKorea/KCDC24/2020	Chungcheongnam	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	EPI_ISL_412873		South Korea	Asia	Human	One month ago	Chungcheongnam	B	2020-02-06	Kim et al		
Shandong/LY003/2020	Shandong	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	EPI_ISL_414936		China	Asia	Human	3-7 days ago		B	2020-01-23	Jiang et al		
Shandong/LY005/2020	Shandong	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	EPI_ISL_414938		China	Asia	Human	3-7 days ago		B	2020-01-24	Jiang et al		
Shandong/LY004/2020	Shandong	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	EPI_ISL_414937		China	Asia	Human	3-7 days ago		B	2020-01-26	Jiang et al		
Shandong/LY008/2020	Shandong	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	EPI_ISL_414941		China	Asia	Human	3-7 days ago		B	2020-01-30	Jiang et al		
Shandong/LY006/2020	Shandong	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	EPI_ISL_414939		China	Asia	Human	3-7 days ago		B	2020-01-25	Jiang et al		
Shandong/LY007/2020	Shandong	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	EPI_ISL_414940		China	Asia	Human	3-7 days ago		B	2020-01-25	Jiang et al		
China/Shanghai/SH0069	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416372		China	Asia	Human	1-2 days ago		B	2020-02-01	Wang et al		
France/GE1583/2020	Grand Est	Laboratoire de Virologie Institut de Virologie - INSERM U 1109 Hopitaux Universitaires de Strasbourg	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414623		France	Europe	Human	3-7 days ago	Strasbourg	B	2020-02-25	Albert et al		
Netherlands/NoordBrabant_46/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415503		Netherlands	Europe	Human	3-7 days ago		B	2020-03-11	Nieuwenhuijse et al		
Spain/Valencia2/2020	Comunitat Valenciana	Servicio Microbiologia. Hospital Clinico Universitario. Valencia.	Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health	EPI_ISL_414496		Spain	Europe	Human	One week ago	Valencia	B	2020-03-04	Navarro et al		MT198651
Spain/Valencia3/2020	Comunitat Valenciana	Servicio Microbiologia, Hospital Clinico Universitario, Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health.	EPI_ISL_414598		Spain	Europe	Human	One week ago	Valencia	B	2020-03-05	Navarro et al		MT198652
Chile/Santiago_op2d1/2020	Santiago	Laboratory of Molecular Virology, Pontificia Universidad Catolica de Chile	MSHS Pathogen Surveillance Program	EPI_ISL_415658		Chile	South America	Human	3-7 days ago		B	2020-03-06	Medina et al		
Chile/Santiago_op4d1/2020	Santiago	Laboratory of Molecular Virology, Pontificia Universidad Catolica de Chile	MSHS Pathogen Surveillance Program	EPI_ISL_415661		Chile	South America	Human	3-7 days ago		B	2020-03-08	Medina et al		
Chile/Santiago_op3d1/2020	Santiago	Laboratory of Molecular Virology, Pontificia Universidad Catolica de Chile	MSHS Pathogen Surveillance Program	EPI_ISL_415660		Chile	South America	Human	3-7 days ago		B	2020-03-07	Medina et al		
USA/NY2-PV08100/2020	New York	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	EPI_ISL_415151		USA	North America	Human	3-7 days ago		B	2020-03-04	Patel et al		
Chile/Santiago-1/2020	Santiago	Clinica Alemana de Santiago, Chile	Instituto de Salud Publica de Chile	EPI_ISL_414579		Chile	South America	Human	One week ago		B	2020-03-03	Castillo et al		
Beijing/233/2020	Beijing		Infectious Disease Control Center	EPI_ISL_413520		China	Asia	Human	One month ago		B	2020-01-28	Li et al		
SouthKorea/KCDC07/2020	Seoul	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	EPI_ISL_412871		South Korea	Asia	Human	One month ago	Seoul	B	2020-01-31	Kim et al		
SouthKorea/KCDC03/2020	Gyeonggi	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	EPI_ISL_407193		South Korea	Asia	Human	Older	Gyeonggi	B	2020-01-25	Kim et al		
Beijing/105/2020	Beijing		Infectious Disease Control Center	EPI_ISL_413518		China	Asia	Human	One month ago		B	2020-01-26	Li et al		
Beijing/235/2020	Beijing		Infectious Disease Control Center	EPI_ISL_413521		China	Asia	Human	One month ago		B	2020-01-28	Li et al		
Beijing/231/2020	Beijing		Infectious Disease Control Center	EPI_ISL_413519		China	Asia	Human	One month ago		B	2020-01-28	Li et al		
SouthKorea/KCDC06/2020	Seoul	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	EPI_ISL_412870		South Korea	Asia	Human	One month ago	Seoul	B	2020-01-30	Kim et al		
SouthKorea/KUMC05/2020	South Korea	Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	EPI_ISL_413515		South Korea	Asia	Human	One month ago		B	2020-02-27	Kang et al		
SouthKorea/KUMC04/2020	South Korea	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	EPI_ISL_413514		South Korea	Asia	Human	One month ago		B	2020-02-27	Kang et al		
SouthKorea/KUMC06/2020	South Korea	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	EPI_ISL_413516		South Korea	Asia	Human	One month ago		B	2020-02-27	Kang et al		
SouthKorea/KUMC03/2020	South Korea	Division of Infectious Diseases, Department of Internal Medicine, Korea University College of Medicine	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	EPI_ISL_413513		South Korea	Asia	Human	One month ago		B	2020-02-27	Kang et al		
Australia/QLD03/2020	Queensland	Pathology Queensland	Public Health Virology Laboratory	EPI_ISL_410717		Australia	Oceania	Human	Older	Gold Coast	B4	2020-02-05	Huang et al		
China/Shanghai/SH0117	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416403		China	Asia	Human	1-2 days ago		B4	2020-02-02	Wang et al		
Australia/QLD02/2020	Queensland	Pathology Queensland	Public Health Virology Laboratory	EPI_ISL_407896		Australia	Oceania	Human	Older	Gold Coast	B4	2020-01-30	Huang et al		
China/Shanghai/SH0035	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416344		China	Asia	Human	1-2 days ago		B4	2020-01-30	Wang et al		
China/Shanghai/SH0003	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416317		China	Asia	Human	1-2 days ago		B4	2020-01-25	Wang et al		
China/Shanghai/SH0002	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416316		China	Asia	Human	1-2 days ago		B4	2020-01-25	Wang et al		
Guangdong/2020XN4243-P0035/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413853		China	Asia	Human	One week ago		B4	2020-01-30	Lu et al		
USA/CA7/2020	California	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_411954		USA	North America	Human	One month ago		B4	2020-02-06	Queen et al	Hubei	MT106052
Australia/VIC07/2020	Victoria	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	EPI_ISL_416415		Australia	Oceania	Human	1-2 days ago	Melbourne	B4	2020-02-08	Caly et al		
Australia/QLD01/2020	Queensland	Pathology Queensland	Public Health Virology Laboratory	EPI_ISL_407894		Australia	Oceania	Human	Older	Gold Coast	B4	2020-01-28	Huang et al	Hubei	
Netherlands/Utrecht_16/2020	Utrecht	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414555		Netherlands	Europe	Human	One week ago		B4	2020-03-08	Nieuwenhuijse et al		
Netherlands/Utrecht_17/2020	Utrecht	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415526		Netherlands	Europe	Human	3-7 days ago		B4	2020-03-10	Nieuwenhuijse et al		
Australia/QLD04/2020	Queensland	Pathology Queensland	Public Health Virology Laboratory	EPI_ISL_410718		Australia	Oceania	Human	Older	Gold Coast	B4	2020-02-05	Huang et al		
Singapore/4/2020	Singapore	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	EPI_ISL_410535		Singapore	Asia	Human	Older	Singapore	B4	2020-02-03	Anderson et al	Hubei	
USA/IL2/2020	Illinois	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_410045		USA	North America	Human	Older		B	2020-01-28	Li et al	Hubei	MT044257
USA/CA1/2020	California	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_406034		USA	North America	Human	Older	Los Angeles	B	2020-01-23	Uehara et al	Hubei	MN994467
Sichuan/IVDC-SC-001/2020	Sichuan	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	EPI_ISL_408484		China	Asia	Human	Older	Chengdu	B	2020-01-15	Tan et al		
China/Shanghai/SH0017	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416328		China	Asia	Human	1-2 days ago		B	2020-02-01	Wang et al		
Vietnam/CM99/2020	Vinhphuc	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	EPI_ISL_416429		Vietnam	Asia	Human	1-2 days ago		B	2020-02-11	Le Quynh Mai et al		
HongKong/VM20001061/2020	Hong Kong	Hong Kong Department of Health	School of Public Health, The University of Hon g Kong	EPI_ISL_412028		Hong Kong	Asia	Human	One month ago		B	2020-01-22	Dominic N.C. Tsang et al		
Guangdong/GZ-S6-P0050/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413873		China	Asia	Human	One week ago		B	2020-02-28	Lu et al		
Vietnam/38142/2020	Thanh Hoa	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)	EPI_ISL_416427		Vietnam	Asia	Human	1-2 days ago		B	2020-01-24	Le Quynh Mai et al		
Vietnam/VR03-38142/2020	Thanh Hoa	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)	EPI_ISL_408668		Vietnam	Asia	Human	Older		B	2020-01-24	Ung Thi Hong Trang et al	Hubei	
China/Shanghai/SH0128	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416409		China	Asia	Human	1-2 days ago		B	2020-02-02	Wang et al		
China/Shanghai/SH0032	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416341		China	Asia	Human	1-2 days ago		B	2020-02-01	Wang et al		
China/Shanghai/SH0079	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416381		China	Asia	Human	1-2 days ago		B	2020-02-01	Wang et al		
China/Shanghai/SH0029	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416338		China	Asia	Human	1-2 days ago		B	2020-02-01	Wang et al		
China/Shanghai/SH0049	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416357		China	Asia	Human	1-2 days ago		B	2020-02-01	Wang et al		
USA/TX1/2020	Texas	Texas Department of State Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_411956		USA	North America	Human	One month ago		B2	2020-02-11	Queen et al	Hubei	MT106054
Guangdong/SZ-N128-P0057/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413897		China	Asia	Human	One week ago		B2	2020-02-28	Lu et al		
China/Shanghai/SH0059	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416366		China	Asia	Human	1-2 days ago		B2	2020-01-30	Wang et al		
USA/AZ1/2020	Arizona	Arizona Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	EPI_ISL_406223		USA	North America	Human	Older	Phoenix	B2	2020-01-22	Tao et al	Hubei	MN997409
Shenzhen/HKU-SZ-005/2020	Guangdong	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	EPI_ISL_405839		China	Asia	Human	Older	Shenzhen	B2	2020-01-11	Chan et al		MN975262
Guangdong/2020XN4291-P0038/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413889		China	Asia	Human	One week ago		B2	2020-01-30	Lu et al		
Guangzhou/GZMU0042/2020	Guangdong	State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University	The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen	EPI_ISL_414688		China	Asia	Human	3-7 days ago	Guangzhou	B2	2020-02-25	Zhao et al et al		
Japan/TY-WK-012/2020	Tokyo	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	EPI_ISL_408665		Japan	Asia	Human	Older	Tokyo	B2	2020-01-29	Sekizuka et al		LC522973
Japan/TY-WK-501/2020	Tokyo	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	EPI_ISL_408666		Japan	Asia	Human	Older	Tokyo	B2	2020-01-31	Sekizuka et al		LC522974
Japan/TY-WK-521/2020	Tokyo	Dept. of Virology III, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	EPI_ISL_408667		Japan	Asia	Human	Older	Tokyo	B2	2020-01-31	Sekizuka et al		LC522975
Shenzhen/HKU-SZ-002/2020	Guangdong	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	EPI_ISL_406030		China	Asia	Human	Older	Shenzhen	B2	2020-01-10	Chan et al		MN938384
Guangdong/20SF025/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_403935		China	Asia	Human	Older	Shenzhen	B2	2020-01-15	Kang et al		
Guangdong/20SF013/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_403933		China	Asia	Human	Older	Shenzhen	B2	2020-01-15	Kang et al		
Shenzhen/SZTH-002/2020	Guangdong	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	EPI_ISL_406593		China	Asia	Human	Older	Shenzhen	B2	2020-01-13	Yang et al		
Guangdong/20SF012/2020	Guangdong	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	EPI_ISL_403932		China	Asia	Human	Older	Shenzhen	B2	2020-01-14	Kang et al		
China/Shanghai/SH0004	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416318		China	Asia	Human	1-2 days ago		B2	2020-01-28	Wang et al		
China/Shanghai/SH0074	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416377		China	Asia	Human	1-2 days ago		B2	2020-02-07	Wang et al		
China/Shanghai/SH0005	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416319		China	Asia	Human	1-2 days ago		B2	2020-01-28	Wang et al		
Guangdong/2020XN4276-P0037/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413859		China	Asia	Human	One week ago		B2	2020-01-31	Lu et al		
Germany/BavPat3/2020	Bavaria	Bundeswehr Institute of Microbiology	Bundeswehr Institute of Microbiology	EPI_ISL_414521		Germany	Europe	Human	One week ago	Munich	B2	2020-03-02	Walter et al		
Wuhan/WH04/2020	Hubei	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	EPI_ISL_406801		China	Asia	Human	Older	Wuhan	B	2020-01-05	Chen et al		LR757995
China/Shanghai/SH0021	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416330		China	Asia	Human	1-2 days ago		B	2020-02-02	Wang et al		
Wuhan/HBCDC-HB-03/2020	Hubei	Union Hospital of Tongji Medical College, Huazhong University of Science and Technology	Hubei Provincial Center for Disease Control and Prevention	EPI_ISL_412979		China	Asia	Human	One month ago	Wuhan	B	2020-01-18	Fang et al		
China/Shanghai/SH0115	Shanghai	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	EPI_ISL_416402		China	Asia	Human	1-2 days ago		B	2020-02-11	Wang et al		
Guangdong/GD2020233-P0027/2020	Guangdong	Guangdong Provincial Institution of Public Health, Guangdong Provinical Center for Disease Control and Prevention	Guangdong Provincial Institution of Public Health	EPI_ISL_413856		China	Asia	Human	One week ago		B	2020-02-07	Lu et al		
Singapore/12/2020	Singapore	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	EPI_ISL_414378		Singapore	Asia	Human	One week ago	Singapore	B	2020-02-17	Anderson et al		
Singapore/13/2020	Singapore	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	EPI_ISL_414379		Singapore	Asia	Human	One week ago	Singapore	B	2020-02-18	Anderson et al		
