#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0DTC5	uniprotkb:Q96CW5	intact:EBI-25475853	intact:EBI-1046278|uniprotkb:Q5T8L2|uniprotkb:O43631|uniprotkb:O60852|uniprotkb:O60853|uniprotkb:Q7Z4K1|uniprotkb:Q96I79	psi-mi:m_wcpv(display_long)	psi-mi:gcp3_human(display_long)|uniprotkb:Gamma-ring complex protein 104 kDa(gene name synonym)|uniprotkb:Spindle pole body protein Spc98 homolog(gene name synonym)|uniprotkb:TUBGCP3(gene name)|psi-mi:TUBGCP3(display_short)|uniprotkb:GCP3(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q8NEW0	intact:EBI-25475853	intact:EBI-1043569|uniprotkb:D3DT61|uniprotkb:Q8TCH2|uniprotkb:B2R949	psi-mi:m_wcpv(display_long)	psi-mi:znt7_human(display_long)|uniprotkb:Solute carrier family 30 member 7(gene name synonym)|uniprotkb:SLC30A7(gene name)|psi-mi:SLC30A7(display_short)|uniprotkb:ZNT7(gene name synonym)|uniprotkb:ZNTL2(gene name synonym)|uniprotkb:Znt-like transporter 2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q7L8L6	intact:EBI-25475853	intact:EBI-747570|uniprotkb:Q96JN3|uniprotkb:Q9H5D1|uniprotkb:Q9H8Y3	psi-mi:m_wcpv(display_long)	psi-mi:fakd5_human(display_long)|uniprotkb:FASTKD5(gene name)|psi-mi:FASTKD5(display_short)|uniprotkb:KIAA1792(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q6PML9	intact:EBI-25475853	intact:EBI-2818242|uniprotkb:Q8TBB2|uniprotkb:Q7Z5I7|uniprotkb:Q4W5B6|uniprotkb:Q9Y6R2	psi-mi:m_wcpv(display_long)	psi-mi:znt9_human(display_long)|uniprotkb:SLC30A9(gene name)|psi-mi:SLC30A9(display_short)|uniprotkb:C4orf1(gene name synonym)|uniprotkb:HUEL(gene name synonym)|uniprotkb:Human embryonic lung protein(gene name synonym)|uniprotkb:Solute carrier family 30 member 9(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q5JRX3	intact:EBI-25475853	intact:EBI-2432778|uniprotkb:C9JSL2|uniprotkb:B4E0J8|uniprotkb:E7ES23|uniprotkb:B3KMJ6|uniprotkb:O95204|uniprotkb:Q2M2G6|uniprotkb:Q4VBR1|uniprotkb:Q5JRW7|uniprotkb:Q7L5Z7|uniprotkb:Q9BSI6|uniprotkb:Q9BVJ5|uniprotkb:Q9UPP8	psi-mi:m_wcpv(display_long)	psi-mi:prep_human(display_long)|uniprotkb:PITRM1(gene name)|psi-mi:PITRM1(display_short)|uniprotkb:KIAA1104(gene name synonym)|uniprotkb:MP1(gene name synonym)|uniprotkb:Pitrilysin metalloproteinase 1(gene name synonym)|uniprotkb:PREP(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q4KMQ2	intact:EBI-25475853	intact:EBI-2820640|uniprotkb:B9EGG0|uniprotkb:E7ENK4|uniprotkb:A6NNM6|uniprotkb:Q8N3Q2|uniprotkb:E9PB30|uniprotkb:E9PCT2	psi-mi:m_wcpv(display_long)	psi-mi:ano6_human(display_long)|uniprotkb:ANO6(gene name)|psi-mi:ANO6(display_short)|uniprotkb:TMEM16F(gene name synonym)|uniprotkb:Transmembrane protein 16F(gene name synonym)|uniprotkb:Small-conductance calcium-activated nonselective cation channel(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q10713	intact:EBI-25475853	intact:EBI-2514696|uniprotkb:B4DKL3|uniprotkb:E7ET61|uniprotkb:Q5SXM9|uniprotkb:Q8N513|uniprotkb:Q16639	psi-mi:m_wcpv(display_long)	psi-mi:mppa_human(display_long)|uniprotkb:PMPCA(gene name)|psi-mi:PMPCA(display_short)|uniprotkb:INPP5E(gene name synonym)|uniprotkb:KIAA0123(gene name synonym)|uniprotkb:MPPA(gene name synonym)|uniprotkb:Alpha-MPP(gene name synonym)|uniprotkb:P-55(gene name synonym)|uniprotkb:Inactive zinc metalloprotease alpha(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:Q00765	intact:EBI-25475853	intact:EBI-1549827|uniprotkb:B7Z681|uniprotkb:Q04198|uniprotkb:Q5QGT0|uniprotkb:Q9BWH9|uniprotkb:D3DT04	psi-mi:m_wcpv(display_long)	psi-mi:reep5_human(display_long)|uniprotkb:Polyposis locus protein 1(gene name synonym)|uniprotkb:Protein TB2(gene name synonym)|uniprotkb:REEP5(gene name)|psi-mi:REEP5(display_short)|uniprotkb:C5orf18(gene name synonym)|uniprotkb:DP1(gene name synonym)|uniprotkb:TB2(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:P48556	intact:EBI-25475853	intact:EBI-359304|uniprotkb:Q6P1L7|uniprotkb:B4DX18	psi-mi:m_wcpv(display_long)	psi-mi:psmd8_human(display_long)|uniprotkb:26S proteasome regulatory subunit S14(gene name synonym)|uniprotkb:p31(gene name synonym)|uniprotkb:26S proteasome regulatory subunit RPN12(gene name synonym)|uniprotkb:PSMD8(gene name)|psi-mi:PSMD8(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:P38606	intact:EBI-25475853	intact:EBI-1054757|uniprotkb:B7Z1R5|uniprotkb:D3DN75|intact:EBI-10982175|uniprotkb:Q53YD9|uniprotkb:Q96DY6|uniprotkb:Q9UHY3|uniprotkb:B2RBR8	psi-mi:m_wcpv(display_long)	psi-mi:vata_human(display_long)|uniprotkb:ATP6V1A(gene name)|psi-mi:ATP6V1A(display_short)|uniprotkb:ATP6A1(gene name synonym)|uniprotkb:ATP6V1A1(gene name synonym)|uniprotkb:VPP2(gene name synonym)|uniprotkb:Vacuolar proton pump subunit alpha(gene name synonym)|uniprotkb:V-ATPase 69 kDa subunit(gene name synonym)|uniprotkb:Vacuolar ATPase isoform VA68(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:P38435	intact:EBI-25475853	intact:EBI-10963113|uniprotkb:B4DMC5|uniprotkb:E9PEE1|uniprotkb:Q6GU45|uniprotkb:Q14415	psi-mi:m_wcpv(display_long)	psi-mi:vkgc_human(display_long)|uniprotkb:GGCX(gene name)|psi-mi:GGCX(display_short)|uniprotkb:GC(gene name synonym)|uniprotkb:Gamma-glutamyl carboxylase(gene name synonym)|uniprotkb:Peptidyl-glutamate 4-carboxylase(gene name synonym)|uniprotkb:Vitamin K gamma glutamyl carboxylase(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:P27105	intact:EBI-25475853	intact:EBI-1211440|uniprotkb:Q14087|uniprotkb:Q15609|uniprotkb:Q5VX96|uniprotkb:Q96FK4|uniprotkb:B1AM77	psi-mi:m_wcpv(display_long)	psi-mi:stom_human(display_long)|uniprotkb:Stomatin(gene name synonym)|uniprotkb:Protein 7.2b(gene name synonym)|uniprotkb:STOM(gene name)|psi-mi:STOM(display_short)|uniprotkb:BND7(gene name synonym)|uniprotkb:EPB72(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:P13804	intact:EBI-25475853	intact:EBI-1052886|dip:DIP-6161N|uniprotkb:B4DT43|uniprotkb:Q53XN3	psi-mi:m_wcpv(display_long)	psi-mi:etfa_human(display_long)|uniprotkb:ETFA(gene name)|psi-mi:ETFA(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:P11310	intact:EBI-25475853	intact:EBI-514381|uniprotkb:Q9NYF1|uniprotkb:Q5T4U4	psi-mi:m_wcpv(display_long)	psi-mi:acadm_human(display_long)|uniprotkb:ACADM(gene name)|psi-mi:ACADM(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:P05026	intact:EBI-25475853	intact:EBI-714630|uniprotkb:Q5TGZ3	psi-mi:m_wcpv(display_long)	psi-mi:at1b1_human(display_long)|uniprotkb:Sodium/potassium-dependent ATPase subunit beta-1(gene name synonym)|uniprotkb:ATP1B1(gene name)|psi-mi:ATP1B1(display_short)|uniprotkb:ATP1B(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:O95070	intact:EBI-25475853	intact:EBI-2799703|uniprotkb:Q9BVD0|uniprotkb:A6NM00|uniprotkb:Q96G83	psi-mi:m_wcpv(display_long)	psi-mi:yif1a_human(display_long)|uniprotkb:54TM(gene name synonym)|uniprotkb:HYIF1P(gene name synonym)|uniprotkb:YIF1(gene name synonym)|uniprotkb:54TMp(gene name synonym)|uniprotkb:YIP1-interacting factor homolog A(gene name synonym)|uniprotkb:YIF1A(gene name)|psi-mi:YIF1A(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTC5	uniprotkb:O75439	intact:EBI-25475853	intact:EBI-721199|uniprotkb:O60416|uniprotkb:Q96FV4	psi-mi:m_wcpv(display_long)	psi-mi:mppb_human(display_long)|uniprotkb:Beta-MPP(gene name synonym)|uniprotkb:P-52(gene name synonym)|uniprotkb:PMPCB(gene name)|psi-mi:PMPCB(display_short)|uniprotkb:MPPB(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490478	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449619	uniprotkb:Q14181	intact:EBI-25475847	intact:EBI-712752|uniprotkb:B4DNB4|uniprotkb:Q9BPV3	psi-mi:nsp1_wcpv(display_long)	psi-mi:dpoa2_human(display_long)|uniprotkb:DNA polymerase alpha 70 kDa subunit(gene name synonym)|uniprotkb:POLA2(gene name)|psi-mi:POLA2(display_short)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490637	intact-miscore:0.35
uniprotkb:P0DTD1-PRO_0000449619	uniprotkb:P49643	intact:EBI-25475847	intact:EBI-850004|uniprotkb:Q53FJ8|uniprotkb:Q6P1Q7|uniprotkb:Q8WVL2|uniprotkb:Q9H413	psi-mi:nsp1_wcpv(display_long)	psi-mi:pri2_human(display_long)|uniprotkb:DNA primase 58 kDa subunit(gene name synonym)|uniprotkb:PRIM2(gene name)|psi-mi:PRIM2(display_short)|uniprotkb:PRIM2A(gene name synonym)	psi-mi:"MI:0096"(pull down)	Gordon et al. (2020)	pubmed:unassigned2316|imex:IM-27814	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-25490637	intact-miscore:0.35
